NACA 4412 Airfoil Coordinates
 1.000000  0.001300
 0.950000  0.011400
 0.900000  0.020800
 0.800000  0.037500
 0.700000  0.051800
 0.600000  0.063600
 0.500000  0.072500
 0.400000  0.078000
 0.300000  0.078800
 0.250000  0.076700
 0.200000  0.072600
 0.150000  0.065400
 0.100000  0.054400
 0.075000  0.046900
 0.050000  0.037400
 0.025000  0.025300
 0.012500  0.017000
 0.000000  0.000000
 0.012500 -0.010800
 0.025000 -0.014600
 0.050000 -0.019400
 0.075000 -0.022300
 0.100000 -0.024200
 0.150000 -0.026100
 0.200000 -0.026400
 0.250000 -0.025600
 0.300000 -0.024000
 0.400000 -0.019600
 0.500000 -0.014500
 0.600000 -0.009400
 0.700000 -0.004800
 0.800000 -0.001100
 0.900000  0.000800
 0.950000  0.001000
 1.000000  0.000000
